Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,206,167,204
Travel&Transportation,207,186,82
Shopping,14,0,0
SmartHome,237,167,74
ConnectedCar,15,0,15
Lifestyle,1103,1068,626
Sports,139,138,11
Local,7,7,7
Utilities,210,147,0
Social,142,112,64
Business&Finance,226,147,144
News,136,136,65
Movies&TV,159,130,0
Games&Trivia,1042,884,284
Education&Reference,1150,1051,515
Music&Audio,1172,1164,868
Weather,106,106,22
Communication,0,0,0
Health&Fitness,198,198,185
Kids,526,404,244
Novelty&Humor,577,481,246
HomeServices,0,0,0
Productivity,325,243,0
