Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,0,0,81
Travel&Transportation,0,0,44
Shopping,0,0,53
SmartHome,0,0,637
ConnectedCar,0,0,1
Lifestyle,0,0,227
Sports,0,0,39
Local,0,0,92
Utilities,0,0,142
Social,0,0,65
Business&Finance,0,0,47
News,0,0,12
Movies&TV,0,0,60
Games&Trivia,0,0,172
Education&Reference,0,0,255
Music&Audio,0,0,190
Weather,0,0,55
Communication,0,0,4
Health&Fitness,0,0,4
Kids,0,0,102
Novelty&Humor,0,0,111
HomeServices,0,0,23
Productivity,0,0,96
