Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,0,0,279
Travel&Transportation,0,0,244
Shopping,0,0,60
SmartHome,0,0,660
ConnectedCar,0,0,15
Lifestyle,0,0,1220
Sports,0,0,167
Local,0,0,99
Utilities,0,0,309
Social,0,0,205
Business&Finance,0,0,235
News,0,0,142
Movies&TV,0,0,217
Games&Trivia,0,0,1112
Education&Reference,0,0,1375
Music&Audio,0,0,1294
Weather,0,0,154
Communication,0,0,0
Health&Fitness,0,0,198
Kids,0,0,599
Novelty&Humor,0,0,666
HomeServices,0,0,6
Productivity,0,0,373
