Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,0,0,267
Travel&Transportation,0,0,244
Shopping,0,0,57
SmartHome,0,0,647
ConnectedCar,0,0,12
Lifestyle,0,0,1190
Sports,0,0,163
Local,0,0,99
Utilities,0,0,307
Social,0,0,205
Business&Finance,0,0,224
News,0,0,140
Movies&TV,0,0,217
Games&Trivia,0,0,1040
Education&Reference,0,0,1361
Music&Audio,0,0,1283
Weather,0,0,154
Communication,0,0,0
Health&Fitness,0,0,196
Kids,0,0,594
Novelty&Humor,0,0,663
HomeServices,0,0,6
Productivity,0,0,352
