Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,0,0,279
Travel&Transportation,0,0,244
Shopping,0,0,60
SmartHome,0,0,669
ConnectedCar,0,0,15
Lifestyle,0,0,1269
Sports,0,0,168
Local,0,0,99
Utilities,0,0,317
Social,0,0,205
Business&Finance,0,0,240
News,0,0,144
Movies&TV,0,0,217
Games&Trivia,0,0,1145
Education&Reference,0,0,1385
Music&Audio,0,0,1361
Weather,0,0,158
Communication,0,0,0
Health&Fitness,0,0,202
Kids,0,0,604
Novelty&Humor,0,0,669
HomeServices,0,0,20
Productivity,0,0,385
