Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,0,0,206
Travel&Transportation,0,0,207
Shopping,0,0,57
SmartHome,0,0,266
ConnectedCar,0,0,15
Lifestyle,0,0,1128
Sports,0,0,139
Local,0,0,44
Utilities,0,0,210
Social,0,0,142
Business&Finance,0,0,226
News,0,0,136
Movies&TV,0,0,159
Games&Trivia,0,0,1056
Education&Reference,0,0,1189
Music&Audio,0,0,1172
Weather,0,0,106
Communication,0,0,0
Health&Fitness,0,0,198
Kids,0,0,538
Novelty&Humor,0,0,611
HomeServices,0,0,0
Productivity,0,0,338
