Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,279,212,262
Travel&Transportation,244,243,213
Shopping,57,18,30
SmartHome,625,380,172
ConnectedCar,15,0,15
Lifestyle,1232,1143,1092
Sports,156,148,148
Local,99,59,31
Utilities,311,250,151
Social,205,195,109
Business&Finance,239,205,223
News,144,139,141
Movies&TV,216,170,154
Games&Trivia,1133,961,761
Education&Reference,1362,1211,1192
Music&Audio,1331,1317,1336
Weather,158,128,130
Communication,0,0,0
Health&Fitness,202,198,202
Kids,601,538,490
Novelty&Humor,667,616,564
HomeServices,1,0,0
Productivity,382,288,259
