Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,279,212,204
Travel&Transportation,244,243,82
Shopping,57,18,0
SmartHome,612,380,130
ConnectedCar,15,0,15
Lifestyle,1167,1084,626
Sports,155,138,11
Local,99,50,7
Utilities,306,194,30
Social,205,195,64
Business&Finance,233,163,144
News,142,136,65
Movies&TV,213,170,27
Games&Trivia,1106,940,503
Education&Reference,1350,1161,593
Music&Audio,1204,1188,789
Weather,154,111,37
Communication,0,0,0
Health&Fitness,198,198,102
Kids,595,531,397
Novelty&Humor,663,572,246
HomeServices,0,0,0
Productivity,365,283,155
