Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,0,0,0
Travel&Transportation,0,0,0
Shopping,0,0,0
SmartHome,0,0,56
ConnectedCar,0,0,0
Lifestyle,0,0,57
Sports,0,0,0
Local,0,0,0
Utilities,0,0,30
Social,0,0,38
Business&Finance,0,0,0
News,0,0,0
Movies&TV,0,0,27
Games&Trivia,0,0,350
Education&Reference,0,0,128
Music&Audio,0,0,246
Weather,0,0,15
Communication,0,0,0
Health&Fitness,0,0,0
Kids,0,0,294
Novelty&Humor,0,0,28
HomeServices,0,0,0
Productivity,0,0,155
