Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,267,210,0
Travel&Transportation,244,243,0
Shopping,57,18,0
SmartHome,607,310,56
ConnectedCar,12,0,0
Lifestyle,1096,540,57
Sports,146,111,0
Local,99,50,0
Utilities,304,143,30
Social,205,195,38
Business&Finance,222,147,0
News,140,76,0
Movies&TV,213,170,27
Games&Trivia,1023,586,350
Education&Reference,1317,865,128
Music&Audio,1090,837,246
Weather,154,104,15
Communication,0,0,0
Health&Fitness,196,175,0
Kids,589,286,294
Novelty&Humor,663,505,28
HomeServices,0,0,0
Productivity,352,215,155
